{1=0.26254413, 2=1, 3=-0.9582554, 4=1, 5=1.4174964, 6=1, 7=1, 8=1, 9=1, 10=1, 11=0.1630545, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=1.1131566, 2=2, 3=-0.9017578, 4=1, 5=1.4174964, 6=2, 7=2, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-2.095526, 14=1, 15=1}
{1=0.18521571, 2=3, 3=0.38842577, 4=2, 5=-0.14677337, 6=3, 7=3, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=1.3451418, 2=3, 3=0.57439506, 4=3, 5=-0.9289083, 6=2, 7=3, 8=2, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.5880683, 2=3, 3=1.5852883, 4=1, 5=1.4174964, 6=2, 7=4, 8=3, 9=2, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=2, 15=1}
{1=0.10788731, 2=3, 3=1.0605086, 4=4, 5=1.8085638, 6=2, 7=2, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=1.0358281, 2=3, 3=-0.15226482, 4=5, 5=-1.7110431, 6=4, 7=5, 8=1, 9=2, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-1.8431988, 14=3, 15=1}
{1=1.2678133, 2=2, 3=0.32989052, 4=2, 5=-0.14677337, 6=2, 7=2, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.5959652, 14=1, 15=2}
{1=-0.3560831, 2=3, 3=-1.2676518, 4=4, 5=1.8085638, 6=1, 7=4, 8=1, 9=1, 10=2, 11=1.8336054, 12=-0.21036936, 13=1.0165107, 14=1, 15=2}
{1=0.49452934, 2=3, 3=-0.15945986, 4=1, 5=1.4174964, 6=2, 7=2, 8=2, 9=1, 10=1, 11=0.58440924, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=0.10788731, 2=3, 3=1.0203607, 4=6, 5=0.24429408, 6=2, 7=2, 8=2, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=3.539784, 14=1, 15=2}
{1=-0.4334115, 2=1, 3=-0.33643052, 4=1, 5=1.4174964, 6=2, 7=4, 8=2, 9=3, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=4, 15=2}
